0.0 3.1428    3.16104   3.2     3.64267
0.1   3.14234 3.16047   3.19906 3.64186
0.2   3.14095 3.15877   3.19625 3.63945
0.3   3.13862 3.15594   3.19154 3.63542
0.4   3.13537 3.15198   3.18494 3.62979
0.5   3.13118 3.14688   3.17641 3.62257
0.6   3.12605 3.14064   3.16595 3.61374
0.7   3.11997 3.13326   3.15352 3.60332
0.8   3.11294 3.12472   3.13911 3.59132
0.9   3.10494 3.11504   3.1227  3.57774
1.0  3.09597  3.1042    3.10427 3.56259
1.1   3.08603 3.0922    3.08384 3.54588
1.2   3.07509 3.07904   3.06139 3.52763
1.3   3.06315 3.0647    3.03696 3.50784
1.4   3.05021 3.0492    3.01056 3.48652
1.5   3.03625 3.03252   2.98223 3.46369
1.6   3.02126 3.01467   2.95204 3.43936
1.7   3.00524 2.99563   2.92004 3.41355
1.8   2.98818 2.97543   2.88631 3.38627
1.9   2.97008 2.95405   2.85091 3.35754
2.0  2.95092  2.9315    2.81395 3.32737
