0.0 3.14297  3.16115  3.2
0.1 3.14254  3.16065  3.19931
0.2 3.14126  3.15914  3.19723
0.3 3.13912  3.15663  3.19376
0.4 3.13612  3.1531   3.18891
0.5 3.13226  3.14858  3.18266
0.6 3.12755  3.14304  3.17501
0.7 3.12197  3.1365   3.16595
0.8 3.11552  3.12895  3.15549
0.9 3.10819  3.1204   3.14361
1.0 3.1      3.11084  3.13031
1.1 3.09092  3.10027  3.11558
1.2 3.08096  3.0887   3.09942
1.3 3.07011  3.07613  3.08184
1.4 3.05836  3.06255  3.06284
1.5 3.04572  3.04797  3.04241
1.6 3.03217  3.0324   3.02056
1.7 3.01772  3.01583  2.99731
1.8 3.00235  2.99827  2.97267
1.9 2.98607  2.97973  2.94666
2.0 2.96887  2.9602   2.9193
