0.0 3.14284  3.16107  3.2
0.1 3.14235  3.1605   3.19922
0.2 3.14089  3.1588   3.19687
0.3 3.13844  3.15596  3.19294
0.4 3.13501  3.15199  3.18744
0.5 3.13059  3.14689  3.18033
0.6 3.12518  3.14065  3.17162
0.7 3.11877  3.13327  3.16127
0.8 3.11135  3.12476  3.14928
0.9 3.10292  3.11511  3.13562
1.0 3.09346  3.10433  3.12029
1.1 3.08297  3.09241  3.10325
1.2 3.07144  3.07935  3.08452
1.3 3.05885  3.06517  3.06407
1.4 3.0452   3.04985  3.04191
1.5 3.03049  3.03342  3.01805
1.6 3.0147   3.01586  2.99251
1.7 2.99782  2.99718  2.9653
1.8 2.97985  2.9774   2.93646
1.9 2.96078  2.95652  2.90602
2.0 2.94062  2.93454  2.87403
