0.0 3.14312   3.16126  3.2
0.1  3.14275  3.16083  3.19942
0.2  3.14165  3.15954  3.19768
0.3  3.13982  3.15739  3.19477
0.4  3.13725  3.15438  3.19071
0.5  3.13395  3.15051  3.18548
0.6  3.12992  3.14578  3.17909
0.7  3.12515  3.14019  3.17154
0.8  3.11964  3.13374  3.16283
0.9  3.11339  3.12643  3.15296
1.0  3.1064   3.11826  3.14192
1.1  3.09868  3.10924  3.12973
1.2  3.09021  3.09936  3.11638
1.3  3.081    3.08863  3.10187
1.4  3.07105  3.07704  3.08621
1.5  3.06034  3.0646   3.06941
1.6  3.04889  3.05131  3.05146
1.7  3.0367   3.03717  3.03238
1.8  3.02375  3.02219  3.01217
1.9  3.01005  3.00636  2.99084
2.0  2.9956   2.98969  2.9684
