0.0 4.7617     4.77422   4.8
0.1  4.76138   4.77382   4.79942
0.2  4.76042   4.77263   4.79768
0.3  4.75882   4.77065   4.79476
0.4  4.75658   4.76788   4.79068
0.5  4.75369   4.76431   4.7854
0.6  4.75016   4.75995   4.77893
0.7  4.74597   4.75479   4.77124
0.8  4.74114   4.74884   4.76232
0.9  4.73564   4.74208   4.75215
1.0 4.72948    4.73453   4.74071
1.1  4.72266   4.72618   4.72798
1.2  4.71516   4.71702   4.71393
1.3  4.70697   4.70706   4.69856
1.4  4.69811   4.6963    4.68184
1.5  4.68854   4.68472   4.66376
1.6  4.67828   4.67234   4.6443
1.7  4.66731   4.65915   4.62346
1.8  4.65562   4.64515   4.60123
1.9  4.64321   4.63034   4.57761
2.0 4.63007    4.61471   4.55261
